OBJECT_COUNT,MS
2100,0.041832
2120,0.041832
2140,0.041832
2140,0.041832
2160,0.041832
2160,0.041832
2180,0.041832
2180,0.041832
2200,0.041832
2200,0.041832
2220,0.041832
2240,0.041832
2240,0.041832
2240,0.041832
2260,0.041832
2260,0.041832
2280,0.041832
2280,0.041832
2300,0.041832
2320,0.041832
2320,0.041832
2340,0.036545
2360,0.036545
2360,0.036545
2360,0.036545
2380,0.036545
2400,0.036545
2400,0.036545
2420,0.036545
2420,0.036545
2440,0.036545
2460,0.036545
2460,0.036545
2460,0.036545
2480,0.036545
2500,0.036545
2500,0.036545
2520,0.036545
2540,0.036545
2540,0.036545
2560,0.036545
2560,0.036545
2560,0.036545
2580,0.036545
2600,0.036545
2620,0.036545
2620,0.036545
2640,0.036545
2640,0.036545
2660,0.036545
2660,0.036545
2680,0.036545
2680,0.036545
2700,0.036545
2700,0.036545
2720,0.036545
2740,0.036545
2740,0.036545
2760,0.036545
2760,0.036545
2780,0.036545
2780,0.036545
2800,0.036545
2800,0.036545
2820,0.036545
2840,0.036545
2840,0.036545
2860,0.036545
2860,0.036545
2880,0.036545
2880,0.036545
2900,0.036545
2900,0.036545
2920,0.036545
2920,0.036545
2940,0.036545
2960,0.036545
2960,0.036545
2980,0.036545
2980,0.036545
3000,0.030702
3020,0.030702
3020,0.030702
3020,0.030702
3040,0.030702
3040,0.030702
3040,0.030702
3060,0.030702
3060,0.030702
3060,0.030702
3060,0.030702
3080,0.030702
3080,0.030702
3080,0.030702
3100,0.030702
3100,0.030702
3100,0.030702
3120,0.030702
3120,0.030702
3120,0.030702
3140,0.030702
3140,0.030702
3140,0.030702
3160,0.030702
3160,0.030702
3160,0.030702
3180,0.030702
3180,0.030702
3180,0.030702
3200,0.030702
3200,0.030702
3220,0.030702
3220,0.030702
3240,0.030702
3240,0.030702
3260,0.030702
3280,0.030702
3300,0.030702
3300,0.030702
3320,0.030702
3340,0.030702
3340,0.030702
3360,0.030702
3380,0.030702
3400,0.030702
3420,0.030702
3420,0.030702
3440,0.030702
3460,0.030702
3480,0.030702
3480,0.030702
3500,0.030702
3520,0.030702
3520,0.030702
3540,0.030702
3560,0.030702
3560,0.030702
3580,0.030702
3580,0.030702
3600,0.030702
3600,0.030702
3600,0.029689
3620,0.029689
3620,0.029689
3640,0.029689
3640,0.029689
3660,0.029689
3660,0.029689
3680,0.029689
3680,0.029689
3680,0.029689
3700,0.029689
3700,0.029689
3720,0.029689
3720,0.029689
3720,0.029689
3740,0.029689
3740,0.029689
3740,0.029689
3740,0.029689
3760,0.029689
3760,0.029689
3760,0.029689
3760,0.029689
3780,0.029689
3780,0.029689
3780,0.029689
3800,0.029689
3800,0.029689
3800,0.029689
3820,0.029689
3820,0.029689
3820,0.029689
3840,0.029689
3840,0.029689
3840,0.029689
3860,0.029689
3860,0.029689
3860,0.029689
3880,0.029689
3880,0.029689
3880,0.029689
3900,0.029689
3900,0.029689
3900,0.029689
3920,0.029689
3920,0.029689
3920,0.029689
3940,0.029689
3940,0.029689
3940,0.029689
3960,0.029689
3960,0.029689
3960,0.029689
3980,0.029689
3980,0.029689
3980,0.029689
4000,0.029689
4000,0.029689
4000,0.029689
4020,0.029689
4020,0.029689
4020,0.036582
4040,0.036582
4040,0.036582
4040,0.036582
4060,0.036582
4060,0.036582
4060,0.036582
4080,0.036582
4080,0.036582
4080,0.036582
4100,0.036582
4100,0.036582
4100,0.036582
4120,0.036582
4120,0.036582
4120,0.036582
4140,0.036582
4140,0.036582
4140,0.036582
4140,0.036582
4160,0.036582
4160,0.036582
4160,0.036582
4160,0.036582
4180,0.036582
4180,0.036582
4180,0.036582
4180,0.036582
4200,0.036582
4200,0.036582
4200,0.036582
4200,0.036582
4220,0.036582
4220,0.036582
4220,0.036582
4220,0.036582
4220,0.036582
4220,0.036582
4240,0.036582
4240,0.036582
4240,0.036582
4240,0.036582
4260,0.036582
4260,0.036582
4260,0.036582
4280,0.036582
4280,0.036582
4300,0.036582
4300,0.036582
4320,0.036582
4320,0.036582
4340,0.036582
4340,0.036582
4360,0.036582
4360,0.036582
4380,0.036582
4380,0.036582
4400,0.036582
